titulo,Cidade,salario,descricao
Desenvolvedor C# .Net,São Paulo,,"Integrar um time de desenvolvimento web, atuando em projetos de publicidade, como campanhas de incentivo e promoções. Realizar modelagem de aplicações, modelagem de banco de dados e implementação de sistemas."
Desenvolvedor Front-end Pleno e Sênior,São Paulo,,"Atuar com desenvolvimento e implementação Front-end: HTML, CSS, JavaScript, Metodologias ágeis, React."
Desenvolvedor Especialista,São Paulo,,"Sobre a Bionexo: A Bionexo é uma empresa multinacional que se propõe a transformar a gestão de saúde por meio da tecnologia. Fazemos isso através de nossos produtos que entregam mais eficiência, transparência e inteligência para Hospitais,"
Desenvolvedor PHP - Sênior,São Paulo,,"Analisar, criar scripts, dar manutenção e documentar sistemas de Back-end e Front-end da empresa, usando as seguintes linguagens: PHP (versões 5."
Desenvolvedor Front-end Júnior,São Paulo,,Desenvolvimento e manutenção de aplicações Web e Mobile.
Desenvolvedor Front-end,Porto Alegre,,"Desenvolver front-end de projetos web, de acordo com layout aprovado; Desenvolver html, css e javascript dos projetos; Configurar e adaptar temas do wordpress; Criar e configurar e-mails marketing; Atualizar e gerenciar conteúdos via wordpress."
Desenvolvedor TRIZY,Ponta Grossa,,"O Desenvolvedor Fullstack do TIME TRIZY trabalha através de equipes em formato de Squads,"
Desenvolvedor Microsoft .Net,Rio de Janeiro,,Profissional responsável por desenvolver novas soluções e suportar sistemas com as seguintes tecnologias Microsoft:
Desenvolvedor Web e/ou Mobile,Belo Horizonte,,"O Synergia é um centro de Engenharia de Software reconhecido nacionalmente pelo investimento em processos e qualidade. Aqui você tem a oportunidade de trabalhar em um ambiente extremamente agradável e estimulante, dentro do Departamento de Ciência da Computação da UFMG, um dos mais conceituados do país. Esta vaga é para quem busca se melhorar continuamente, que deseja trabalha em times maduros, que está aberto para o aprendizado de novas tecnologias, que está disposto a experimentar novos processos, metodologias e ferramentas e que, por fim, aceita o desafio de tentar solucionar problemas complexos e desafiadores. Como um desenvolvedor no Synergia você vai: Trabalhar em um ambiente colaborativo, ágil e com uma equipe altamente qualificada composta por pessoas com experiência em arquitetura de software, análise de sistemas, experiência de usuário (UX), gestão de produto, análise de negócio e teste de software. Trabalhar com tecnologias, ferramentas e metodologias utilizado pelas grandes empresas do mercado. Contribuir e colaborar com a equipe e clientes durante todo o processo de desenvolvimento de software. Trabalhar em um ambiente informal, transparente, colaborativo onde o seu talento é mais valorizado do que o cargo que você ocupa."
Desenvolvedor Front-end Angular/React - Nível Sênior,São Paulo,,"Experiência em JavaScript e em seus principais Frameworks (Angular, React). Conhecimentos com bibliotecas de data visualization (ex: d3js) e HTML/"
