titulo,Cidade,salario,descricao
Desenvolvedor PHP Sênior,Belo Horizonte,,"Desenvolvimento e acompanhamento de Projetos, manutenções evolutivas e corretivas em sistemas desenvolvidos em PHP7 e Banco de dados Oracle. Propor soluções e desenvolver novas tecnologias para melhorar sistemas legado. Trabalhar com equipe multidisciplinar em ambiente ágil de desenvolvimento."
Desenvolvedor de Software Front-end,São Paulo,,"Desenvolvimento de aplicações web. Tecnologias utilizadas: Backend / Server: Linguagem de desenvolvimento C#, utilizando o framework ASP ."
Desenvolvedor Front-end,São Paulo,,Meios de pagamento e serviços financeiros; React native; Javascript; Bootstrap; CSS; GIT.
Desenvolvedor Front-end,São Paulo,,"Atuar com HTML5, CSS3 e JQuery, com Bootstrap. Versionamento de código com GIT, Ajax, Javascript e Web Standards, Usabilidade (UX). Diagramação e manutenção de layouts responsivos, refatoração e melhorias em layouts para plataforma de e-commerce e ferramentas de gestão. Criação de gráficos e dashboards, integração de layouts em sistemas desenvolvidos com Django."
Desenvolvedor Angular,Florianopolis,,Desenvolvimento de Front end de softwares pra uso interno e externo. Desenvolvimento de interfaces de visualização para dados microbiológicos e genéticos.
Desenvolvedor Java (Vivere),São Paulo,,"Atuar com em metodologias ágeis, plataforma Java (experiências com Design Patterns, Spring Suíte, Java EE, Integrações Rest/"
Desenvolvedor Java Sênior,Campinas,,"Desenvolver novas funcionalidades, fazer manutenção e correção de funcionalidades existentes."
Desenvolvedor PHP,Teresopolis,,Como Desenvolvedor você será responsável por desenvolver as soluções Alterdata e potencializar os negócios dos nossos clientes.
Desenvolvedor Fullstack,Curitiba,,A Segfy é uma Startup/
Desenvolvedor,Belo Horizonte,,"Atuar na manutenção e evolução de aplicativos desenvolvidos em mvc utilizando sql server hospedados na nuvem, análise de novos requisitos e definições técnicas."
Desenvolvedor Salesforce Pleno / Sênior,São Paulo,,"Ser responsável por Design, code, test, debug e documentação de Salesforce Applications. Atuar com Desenvolvimento Apex e módulos SalesForce."
Desenvolvedor .NET Sênior,Belo Horizonte,,Desenvolvimento e acompanhamento de manutenções evolutivas e corretivas em sistemas desenvolvidos em .
Desenvolvedor PHP,São José,,"Visão geral da área e da vaga. Na área do Produto, seu propósito será evoluir os produtos e aumentar engajamento de uso dos usuários. Você também participará junto ao time, do desenvolvimento e consolidação de nossos processos e métodos de criação, trazendo insigths e melhorias para o nosso produto. Buscamos: Criatividade para resolver problemas. Que tenha proatividade, pois participará ativamente junto ao time de todas etapas de criação: do planejamento a execução e mensuração de resultados. Data Driven, pois somos guiados por dados. O que irá fazer? Realizar atividades de treinamento e criação de documentação. Testar e manter o código do produto principal, escrever códigos limpos, garantir uma forte otimização e funcionalidade. Manutenção em códigos já existentes, solucionar problemas e adicionar novas funções."
Desenvolvedor (Front-End) SR,Bauru,,"Desenvolver soluções responsivas para produtos, projetos e provas de conceito."
Desenvolvedor Full Stack,Fortaleza,,"Requisitos: Graduação completa em Ciências da computação, Engenharia de teleinformática, Análise e desenvolvimento de sistemas e áreas afins. Experiência no cargo de DEV full-stack. Experiência com desenvolvimento para Mobile (Android / IOS). Linguagem de programação: C#, ."
Desenvolvedor Web e Mobile,Rio de Janeiro,,"Desenvolvimento, manutenção e implantação de funcionalidades para atender as necessidades dos usuários, levantadas e documentadas pelos analistas. Realizar correções nas funcionalidades existentes (bugs)."
Desenvolvedor Full Stack,Porto Alegre,,"Desenvolver interfaces responsivas e multiplataformas, desenvolvimento WEB e atuação em projetos internos com foco em Front-end e apoio em atividades de Rede."
Desenvolvedor Front-end,Belo Horizonte,,"Você Desenvolvedor será responsável por realizar o desenvolvimento de web sites, dos nossos cliente utilizando as linguagens: HTML, CSS, Bootstrap, GIT, Javascript (Experiência com Agular, React ou Vue) e experiência de integrações com APIs REST. Realizar desenvolvimento de web sites usando as linguagens : HTML, CSS, Bootstrap, GIT, Javascript."
Desenvolvedor Full-Stack,São Paulo,,"Por que trabalhar na Geekie? Nós trabalhamos com educação e acreditamos que através de nossos produtos ajudamos a empoderar escolas, docentes e estudantes. Usamos tecnologias empolgantes como, por exemplo, React Native. Trabalhamos em times pequenos que têm bastante autonomia e estamos organizados de forma horizontal, com poucos níveis hierárquicos. Acreditamos em um ambiente de colaboração, confiança, respeito e diversidade. Estamos constantemente em busca de sermos melhores que antes, seja tecnicamente ou na forma como trabalhamos. Experiência com desenvolvimento de software ou Graduação em Engenharia de Computação, Ciência da Computação ou áreas relacionadas. Conhecimentos em Estruturas de Dados e Algoritmos. Proficiência em umas dessas linguagens: Python, Ruby, Node, Java ou C++. Experiência com Javascript. Paixão por desenvolver produtos inovadores e trabalhar com educação. Atitude positiva e espírito de equipe. O que você vai fazer por aqui? Desenvolvimento tanto para Web quanto para plataformas mobile, especialmente com React Native, disponíveis para iOS e Android, além de usar o React nas interfaces web. Nossos servidores são feitos em Python, usando bancos Mongo ou PostgreSQL, e usamos Heroku e AWS para nossa infraestrutura. Não temos divisão entre backend e Front end e todos podem pegar tarefas de qualquer parte do nosso sistema. Usamos metodologias ágeis para organizar nosso trabalho e a maior parte dos times usa scrum."
Desenvolvedor Web,Uba,,Codificação de natureza evolutiva e corretiva nos sistemas. Testes de funções e funcionalidades nos sistemas. Colaboração em projetos e reuniões técnicas envolvendo os sistemas. Manutenção em banco de dados.
Desenvolvedor Back-end,Francisco Beltrao,,A Segfy é uma Startup/
Desenvolvedor Front-end Jr,São Paulo,,"- HTML, CSS, jQuery+Plugins e Bootstrap"
Desenvolvedor Front-End Júnior,São Paulo,,"Você atuará com aplicações em Front-end, contribuindo com novos insights para melhores práticas e desenvolvimento de projetos com metodologias ágeis;"
Desenvolvedor Front End - Angular RXJS,Eldorado do Sul,,"Desenvolver, manter e testar sistemas de informação em qualquer grau de complexidade. Realizar análise"
Desenvolvedor Java,Belo Horizonte,,"Atuar em projetos que tangem automatização de processos, está disposto a aprender e agregar."
Desenvolvedor Web Mobile,Porto Alegre,,Desenvolvimento mobile do App em transações online.
Desenvolvedor de Sistemas Dotnet Sênior,São Paulo,,Realizar desenvolvimento utilizando tecnologias como: ASP.
Desenvolvedor Java Full-Stack,Nova Lima,,Atuar com Server Side: Java 1.
Desenvolvedor. Front-End Sênior,São Paulo,,"Você atuará com aplicações em Front-end, contribuindo com novos insights para melhores práticas e desenvolvimento de projetos com metodologias ágeis;"
Desenvolvedor Python Full Stack com experiência em Django.,São Paulo,,Consumo de APIs
Desenvolvedor Front-end,São Paulo,,"O profissional atuará com desenvolvimento / programação em JavaScript, CSS, HTML5 e Bootstrap, em consultoria parceira gold partner SAP, em demanda de projetos SAP HCM. Diferenciais: Conhecimentos em ABAP - SAP. Proficiência: Sênior. Desenvolvedor Front-end, com senioridade em desenvolvimento / programação em JavaScript, CSS, HTML5 e Bootstrap. Experiência como Desenvolvedor Front-end."
Desenvolvedor Delphi ou Lazarus,Sao Jose dos Pinhais,,Manutenção de aplicativos já existentes e criação de novos aplicativos utilizando IDE Delphi ou Lazarus e linguagem Object Pascal.
Desenvolvedor React,Rio de Janeiro,,"Analista Desenvolvedor JavaScript REACT. Ter inglês Fluente - Imprescindível, Front-end, the key technologies are: JavaScript, React, Redux, Azure, DataBricks C#, SQL, Python, Also, GitHub is used for code management, and Azure DevOps for backlogs & sprints."
Desenvolvedor WEB / Front End,Blumenau,,Procuramos um profissional para Desenvolvedor web front end.
Desenvolvedor Full Stack Júnior,São Paulo,,"Buscamos um Desenvolvedor Full Stack Júnior que seja comprometido com a qualidade e agilidade das entregas, que seja apaixonado por tecnologia e com muita vontade de aprender, se desenvolver e crescer junto com a gente. Desenvolvimento de Aplicações WEB, como foco na atuação em atividade de Front-End, Back-End e Integração com APIs (SOAP,"
Desenvolvedor Full Stack C#,São Paulo,,"Atuar no desenvolvimento de módulos, correções de problemas e suporte em projetos."
Desenvolvedor em Sistemas Dotnet Pleno,São Paulo,,Realizar desenvolvimento utilizando tecnologias como: ASP.
Desenvolvedor Full Stack,Joinville,,"Participar dos planejamentos das atividades, avaliando as funcionalidades junto aos times de produto e desenvolvimento. Compreender e desenvolver as funcionalidades especificadas. Identificar e aplicar pontos de melhoria no código fonte, sempre buscando a melhoria contínua. "
Desenvolvedor Web,Florianopolis,,"Desejável domínio da ferramenta GIT e Microsoft SQL Server, SOA, Web Services, JSON, API Rest e Design patterns. Necessita de experiência desenvolvendo projetos em C#."
Desenvolvedor Salesforce,Porto Alegre,,"tuar com objetos padrões, forte experiência em Lightning, Criação de soluções na plataforma Salesforce."
Desenvolvedor,Sao Joao de Meriti,,"Desenvolvimento e atualização de sites em HTML 5, PHP, CSS / Bootstrap e JavaScript / front-end / back-end, otimização, indexação, responsividade e UX."
Desenvolvedor PHP,São Paulo,,"Atuar com PHP, PHP 7."
Desenvolvedor Front-End,São Paulo,,Irá atuar na área de TI - Desenvolvimento/
Desenvolvedor Pleno PHP / Laravel,Campo Grande,,"Programar, desenvolver e implantar sistemas em linguagem PHP. Realizar correções em sistemas para atender as necessidades dos usuários. Experiência nas plataformas PHP, HTML, JavaScript, CSS3 e SQL (MySQL). Ter excelente comunicação, dinamismo e facilidade para integração com equipes em pleno desenvolvimento de projetos."
Desenvolvedor ASPNET Backend Pleno e Senior,São Paulo,,"Atividades principais: Desenvolvimento backend de sistemas de e-commerce em aspnet, utilizando mvc e webforms, desenvolvimento de API"
Desenvolvedor Front-end,Belo Horizonte,,"Procuramos por pessoas que: Sabem e gostam de trabalhar em equipe, interagir com outros times e estão sempre dispostas a ajudar. Demonstram iniciativa e interesse em resolver problemas e propor soluções. Responsabilizam-se pelos prazos e resultados planejados e detestam pessoas que dão desculpas. Superam obstáculos e agem com senso de urgência em situações de maior impacto. Mantém o ambiente, documentos e informações organizadas visando a otimização de tempo e recursos. Adorem internet, e-commerce e marketing digital. Sejam leitores do nosso blog."
Desenvolvedor PHP Full Stack,São Paulo,,"Atuará como desenvolvedor PHP com experiência em WordPress que saiba criar temas e plugins, além de conhecer a fundo a estrutura e funcionalidades do framework."
DESENVOLVEDOR III,Teresopolis,,"Olá, Querse juntar a maior fornecedora de software de gestão de saúde? Oque gostaríamos que você tivesse: Espíritoempreendedor, inovador e persistente; Responsabilidade com resultados;"
Desenvolvedor Programador C#,São Paulo,,"Atuar na criação de um sistema financeiro. Desenvolvimento de sistemas Web, Asp."
Desenvolvedor de Portais Java - Pleno,Rio de Janeiro,,"Aqui na WKM ajudamos empresas de diversos setores a conceber novas soluções, construir produtos que as pessoas adoram e a turbinar seus times para que produzam resultados incríveis! É o que sabemos e amamos fazer!"
Desenvolvedor Full Stack - Sênior,São Paulo,,Desenvolver e evoluir produtos ajudando nossos clientes a controlar custos e melhorar a qualidade da saúde dos seus funcionários através de tecnologia e gestão médica proativa. Estar constantemente inovando e propondo melhorias para os produtos / soluções da GESTO. Ser referência técnica nos assuntos do produto pelo qual é responsável.
Desenvolvedor Full Stack Sênior,Curitiba,,"Atuar com desenvolvimento Bootstrap, JQuery/"
Desenvolvedor Front End (Vue),Rio de Janeiro,,"Atuará como front-end em uma de nossas squads, usando as melhores práticas e tecnologias de mercado, criando soluções que proporcionam melhores experiências aos nossos clientes. Ter experiência avançada em HTML5, CSS3 e Vue e sempre procurar atualizar com novas tecnologias e metodologias."
Desenvolvedor C#,Blumenau,,"Projetar e desenvolver novas funcionalidades, novos componentes e novos produtos dentro na nossa linha de área de negócio são algumas das atividades que você está sendo convidado."
Desenvolvedor Front-End Pleno,São Paulo,,Participar do ciclo completo de desenvolvimento dos produtos;
Desenvolvedor PHP,Belo Horizonte,,"Irá atuar com o desenvolvimento do Produto, manutenção para atender aos clientes e o mercado, manutenção e criação de funcionalidades."
Desenvolvedor React Native,Campinas,,"Desenvolver aplicativos mobile React Native. Fazer integrações de api\\\\\\\'s com a aplicação. Trabalhar com ferramentas de automatização de build. Trabalhar com Versionamento de código, testes automatizados e boas práticas de programação."
Desenvolvedor FullStack Pleno,Curitiba,,"O que é o Delivery Center? Somos brasileiros e apaixonados pelo que fazemos, contamos com um time de excelência que revoluciona a forma de fazer delivery no país. Para realizar nosso sonho de permitir as pessoas terem mais tempo livre,"
Desenvolvedor Back-End (.net/ASP.net),Londrina,,Auxiliar o Gerente de Produtos na definição das entregas e arquitetura da solução;
Desenvolvedor Front-End,São Paulo,,"Programa interfaces de Web e ferramentas de edição de imagem. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor. NET - Pleno,Rio de Janeiro,,"Atividades: Análise, programação e desenvolvimento de sistemas. Front: HTML, CSS, JavaScript, jQuery, Bootstrap Back: C#, ."
Desenvolvedor Python Pleno,Rio de Janeiro,,"Desenvolvimento, codificação e testes de novos produtos."
Desenvolvedor Java,São Paulo,,"Atuar no desenvolvimento de soluções aderentes às necessidades do negócio, visando criar sistemas de fácil manutenção e sustentáveis. Atuar na análise, no desenho físico, construção, testes unitários e integrados, geração de massa de testes e configuração do ambiente. Seguir metodologias de desenvolvimento e os padrões de codificação do Banco. Gerar documentação de registro completo das soluções e do processo. Atuar em projetos de equipe utilizando metodologia Ágil e modelo de comunidade de entrega. Atuar no desenho da solução considerando as melhores práticas em engenharia de software. Atuar em troubleshooting para identificação e correção de BUGS sistêmicos."
Desenvolvedor Full Stack (.net/C#),São Paulo,,Manutenção de software aplicativo existente;
Desenvolvedor Java,Biguacu,,Realiza desenvolvimento em Java e SQL.
Desenvolvedor .Net Sênior,Rio de Janeiro,,Atuar com desenvolvimento .
Desenvolvedor Java,Biguacu,,Realiza desenvolvimento em Java e SQL
Desenvolvedor - RPA,São Paulo,,Desenvolver e executar/
Desenvolvedor Back-end,São Bernardo do Campo,,"Será responsável pela elaboração de relatórios com SQL, manutenção de sistemas legado (PHP e ASP."
Desenvolvedor Java,Belo Horizonte,,"Trabalhar com sistema ERP, com múltiplas plataformas, processos de gerenciamento do projeto, gerenciamento do projeto, gerenciamento de prioridades de correção de bugs e projetos."
Desenvolvedor VB,Aparecida de Goiania,,Desenvolvimento .
Desenvolvedor Frontend Angular 4+,Blumenau,,"Desenvolvedor front-end com conhecimento em HTML 5, Webpack, Javascript, React e Java 8."
Desenvolvedor Front-End,São Paulo,,"Atuar com desenvolvimento em front-end, desenvolvimento XHTML/"
Desenvolvedor .NET CORE 2.2 e C# Sênior.,Bauru,,"Ser responsável pela análise e desenvolvimento de sistemas Web de Novas Funcionalidades ou Manutenção novas features ou correções. Desenvolver sistemas e aplicações, a partir das solicitações recebidas, desenvolver layout de telas e relatórios conforme solicitados. Desenvolvimento de Crawler."
Desenvolvedor Front - end Júnior,Curitiba,,"O que é o Delivery Center? Somos brasileiros e apaixonados pelo que fazemos, contamos com um time de excelência que revoluciona a forma de fazer delivery no país. Para realizar nosso sonho de permitir às pessoas terem mais tempo livre,"
Desenvolvedor .Net C# Pleno,Paulínia,,"Experiência em C#, Essencial, ASP ."
Desenvolvedor PHP / Drupal Pleno / Sênior,Valinhos,,"Desenvolvimento de Front-end (PHPTemplate, JavaScript, AJAX, HTML5, CSS3 e jQuery). Experiência em temas de Drupal 7 ou 8. Conhecimentos em pré-processadores CSS, como LESS e SASS. Frameworks Front-end como Bootstrap. Experiência com a semântica e SEOfriendly. Experiência com mobilefirst e responsive design. Experiência em medir e otimizar o desempenho do Front-end. Familiaridade com o controle de versão e ferramentas de gerenciamento de código como Git, Bitbucket ou VSTS."
Desenvolvedor Mobile,Florianopolis,,"Trabalhar no desenvolvimento em JavaScript, HTTP, integração de interface com REST APIs. Experiência em desenvolvimento mobile nativo (Android ou iOS). Experiência com GraphQL. Experiência com JestJS. Experiência com MobX ou Redux. Conhecimento básico em ReactJS. Conhecimento em ES6 (Ecript 6). Conhecimento em GIT. Conhecimento em metodologia SCRUM. Conhecimento em React Native."
Desenvolvedor Java - Fortaleza,Fortaleza,,· Correção de bugs em um sistema já em produção;
Desenvolvedor .NET Pleno,Porto Alegre,,Análise e desenvolvimento de sistemas com foco em .
Desenvolvedor Java Web Pleno e Sênior,Curitiba,,Atuar com programação orientada a objetos e arquitetura MVC.
Desenvolvedor Java,Campinas,,"Experiência em tecnologias relacionadas à construção de páginas WEB (HTML, JavaScript, CSS). Experiência com Ireport ou outras ferramentas para construção de relatórios."
Desenvolvedor Full Stack,Guarulhos,,Desenvolvedor full stack com sólidos conhecimentos de linguagem c# e nodejs e com experiência em trabalhar com aplicativos da Web
Desenvolvedor Web Full Stack,Campinas,,Desenvolvimento de funcionalidades no Front-end. Desenvolvimento e manutenção de aplicações web.
Desenvolvedor .NET Pleno,São Paulo,,Participar do ciclo completo de desenvolvimento dos produtos;
Desenvolvedor .NET/ .NET Core + MongoDB,São Paulo,,Trabalhar na linguagem .
Desenvolvedor de Software,Alfredo Chaves,,Atuar com desenvolvimento de software utilizando a linguagem na plataforma .
Desenvolvedor. Net / C# Pleno,Salto,,Manutenção e desenvolvimento de rotinas para software ERP e aplicativos. Dar manutenção nas rotinas: Webservices de integração com portais de venda/
Desenvolvedor Full Stack,Joinville,,"Atuar na análise e desenvolvimento front-end e back- end dos Portais, ferramentas e integrações TOTVS. Realizar consultorias técnicas. Participar de arquiteturas de soluções."
Desenvolvedor Front End - PHP Pleno,São Paulo,,"Desenvolvimento de aplicações web utilizando linguagem PHP, JavaScript, BootStrap HTML5 e CSS3. Desafio em mudança de arquitetura envolvendo microserviços. Desejável experiência em equipe Scrum e Web Services (SOAP e REST)."
Desenvolvedor .NET,Jaragua do Sul,,Atuará com o desenvolvimento híbrido Web e Mobile.
Desenvolvedor Back-End,Rio de Janeiro,,Escrever um código ?
Desenvolvedor Front-end Angular - Pleno,São Paulo,,"Atuar como desenvolvedor Frontend utilizando angular 6 ou superior, integrando com backend"
Desenvolvedor Front-end,São Paulo,,"Atuará com desenvolvimento Front-end com Javascript. Usará HTML, CSS e storybooks. Auxiliará no gerenciamento de produtos com design de recursos, experiência do usuário e roadmapping. Experiência com metodologias de versões Agile."
Desenvolvedor / Programador Ionic,Jandira,,Atuar no desenvolvimento e manutenção de software por meio de padrões e boas práticas. Codificar a partir de documento de especificação. Diagnóstico de problemas na aplicação com proposição de soluções técnicas adequadas. Realizar testes unitários. Realizar avaliações e recomendações para a melhoria de desempenho das aplicações.
Desenvolvedor .NET,Ribeirão Preto,,Construir software com qualidade. 
Desenvolvedor .Net Core,São Paulo,,Principais responsabilidades e experiência desejada. Programação orientada a objetos. .
Desenvolvedor Java,Porto,,"Programar e desenvolver e implantar sistemas em linguagem Java. Realizar correções em sistemas para atender às necessidades dos usuários. Desenvolver trabalhos de montagem, depuração e testes de programas já desenvolvidos."
Desenvolvedor Front-end,Blumenau,,Atuará com desenvolvimento front-end.
Desenvolvedor Ruby - Pleno/Sênior,São Paulo,,"Liderar nosso time de desenvolvimento no aperfeiçoamento de bots, controle das nossas automatizações, melhoramento das nossas APIs."
Desenvolvedor Front-end IONIC,Campo Grande,,"Atuar no desenvolvimento e manutenção de aplicativos móveis, híbridos através do Ionic Framework, utilizando-se de padrões e boas práticas de programação, integrando com APIs. Analisar demandas e propor soluções técnicas adequadas. Realizar manutenções corretivas e evolutivas dos aplicativos existentes. Realizar avaliações e recomendações para a melhoria de desempenho das aplicações. Realizar testes. Capacidade de analisar um código já existente para dar sequência ao produto, concentrando-se na entrega e na refatoração, quando necessário. Facilidade para aprender novas tecnologias e conceitos."
Desenvolvedor Front End,São Paulo,,"Análise e desenvolvimento de aplicações web usando Rest API, Javascript/"
Desenvolvedor Web PHP Pleno - Wordpress e HTML,Ribeirão Preto,,"Deve ser habilidoso em todos os aspectos do desenvolvimento web e responsável pela criação e implementação de uma ampla variedade de soluções baseadas na web usando também: JavaScript, jQuery, MySQL, CSS e AJAX. Desenvolver e manter sites e soluções baseadas na web utilizando plugins personalizados do WordPress."
Desenvolvedor Designer,Brasília,,"Executa o tratamento de imagens para inclusão no site, criação de banners para o site e para campanhas de trade marketing. Cria graficamente o visual da página das aplicações com imagens e textos."
Desenvolvedor Java Pleno/Sênior,Brasília,,"Atuará com desenvolvimento web em HTML, JacaScript, SQL e outras linguagens."
Desenvolvedor Full Stack,São Jose do Rio Preto,,"Compreender e codificar os requisitos funcionais e não funcionais, aplicando boas práticas de desenvolvimento."
Desenvolvedor FullStack,São Jose do Rio Preto,,Compreender e codificar os requisitos funcionais e não funcionais ;
Desenvolvedor Java Júnior,Brasília,,"Atuará com desenvolvimento web em HTML, JacaScript, SQL e outras linguagens."
Desenvolvedor. Net / C# Júnior,Salto,,Auxiliar no desenvolvimento de software ERP e aplicativos.
Desenvolvedor Full Stack,São Paulo,,"Desenvolvimento de aplicações WEB, utilizando as melhores práticas do mercado, com foco na qualidade da entrega."
Desenvolvedor C# Sênior Full Stack,São Paulo,,"Desenvolvimento e manutenção de aplicações web, sites e serviços. Desenvolvimento de funcionalidades no Front-end. Desenvolvimento de funcionalidades no Back-End. Desenvolvimento e manutenção de APIs. Desenvolvimento e manutenção de integrações. Buscar novas ferramentas e técnicas para a melhoria contínua de nossos sistemas."
Desenvolvedor Python,Florianopolis,,"Estamos em busca de um desenvolvedor que seja proativo, ágil e analítico, além de ter boa comunicação e muita vontade de aprender! Se você é esta pessoa, venha fazer parte do nosso time! Nessa vaga você será um Fullstack, mas na maior parte do tempo é com a sua habilidade em backend que nós iremos contar. xperiência com Python. Trabalhar com Linux;"
Desenvolvedor Front-end Sênior,São Paulo,,Buscamos talento para fazer parte do time da Meta! Esse profissional atuará em projetos de desenvolvimento (Front-end com Angular) para o segmento bancário e call center. Diferenciais: Experiência na elaboração de arquitetura técnica de sistemas. Conhecimento de processos DevOps.
Desenvolvedor Sharepoint,São Paulo,,"Desenvolvimento em SharePoint Online e Implantação de Yammer. Conhecimentos: Sharepoint Online utilizando PowerApps, Microsoft Flow, Yammer, Teams, Delve e Stream. Conhecimento em SharePoint, SharePoint Online, SharePoint Designer, Master Pages, Page Layouts, PowerApps, Flow, Teams, Yammer, PowerShell, JavaScript, C#, PowerShell, JavaScript, jQuery, HTML, CSS, Bootstrap e Infopath. Experiência em atuação de projetos com método ágil. Experiência em Office 365. Experiência migração de versões do SharePoint. Desejável: Certificação MCSA Office 365."
Desenvolvedor Java Full Stack Pleno - sistemas cartões,Porto Alegre,,Analisar e desenvolver melhorias e novas funcionalidades para sistema de cartão de crédito;
Desenvolvedor Java - Matera Systems,Maringa,,"O que esperamos de você? Você atuará na análise, desenvolvimento e suporte de sistemas, utilizando a linguagem Java."
Desenvolvedor Full Stack Sênior,Brasília,,"Realiza as fases de elaboração de requisitos e da programação de sistemas, desenvolve, testa e implementa. Conhece tecnicamente as fases das atividades, identifica e orienta na solução de problemas. Elabora, coordena e orienta atividades de correção e manutenção dos programas. Codifica e realiza os testes, prepara documentação e produz manuais de operação. Realiza a implementação e a manutenção de novos sistemas. Ajusta sistemas existentes para acompanha as mudanças e necessidades dos usuários."
Desenvolvedor C# júnior,São Bernardo do Campo,,"Junto à equipe d e desenvolvimento de sistemas da empresa, irá apoiar os desenvolvedores mais experientes e desenvolver soluções de menor complexidade;"
Desenvolvedor Front-end,Manaus,,"Programa interfaces de Web e ferramentas de edição de imagem. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor PHP Pleno ou Sênior,Porto Alegre,,Desenvolvimento full-stack (PHP) de soluções para a empresa.
Desenvolvedor PHP Pleno,Porto Alegre,,Auxiliar na manutenção e desenvolvimento de websites e sistemas web.
Desenvolvedor front-end Angular,São Paulo,,"Atuação em projeto de sustentação, fazendo parte de Time ágil. Conhecimentos com HTML, CSS, SAAS, Booststrap, Javascript, imprescindível ter vivência profissional com Angular 2 ou acima, NodeJS, MongoDb."
Desenvolvedor de Front-end,São Paulo,,"Conseguir estimar esforço e tempo para desenvolvimento das solicitações das áreas. Desenvolver e ampliar biblioteca web-component. Desenvolver e ampliar biblioteca do style-guide. Criação de páginas, sites e apps responsivos a-partir de design pré-estabelecido. Criação de teste automatizado para front. Domínio das tecnologias: IONIC, JavaScript, React, Graphql, Bootstrap, Material design, Type, script, Absinthe, Apollo, Websocket, Webpack. Diferenciais desejáveis: Ensino Superior na área de Tecnologia da Informação, Ciência da Computação e áreas correlatas. Conhecimentos em SEO, Tag manager, Tranding view, Analytics, Atomic design, Git-flow."
Desenvolvedor Web,Fortaleza,,"Atuar com desenvolvimento de interfaces visando o uso de sistemas de gestão e monitoramento e aplicações baseadas em dispositivos IOT e mobile. Habilidades tecnológicas: Linguagens de desenvolvimento: HTML5, CSS3, JavaScript, Java (Android SDK), Frameworks de interfaces: AMP, Angular, React, PWA; Plataforma back-end: NodeJS ou ."
Desenvolvedor PHP,Florianopolis,,"Somos uma startup que vem crescendo rapidamente e desenvolvendo softwares para clientes nacionais e internacionais. Procuramos alguém que seja inteligente o bastante para entender que nunca sabemos tudo! Sempre temos mais o que aprender. É assim, aprendendo e colaborando, que criamos softwares e experiências únicas! Estamos à procura de profissionais criativos e proativos que queiram desenvolver um trabalho de qualidade na área de desenvolvimento."
Desenvolvedor PHP,São Jose do Rio Preto,,"Analisar, identificar e corrigir erros em nosso sistema web;"
Desenvolvedor .NET Júnior,São Paulo,,Buscamos profissionais de Desenvolvimento de Software na Plataforma .
Desenvolvedor Full-stack,Curitiba,,"Levantamento de informações e recursos necessários para implantação ou alteração dos sistemas; Projetar e implementar interfaces e projetos web; Otimizar as interfaces para melhorar a performance, garantir a boa usabilidade e alta disponibilidade; Aplicação de testes; Manutenção e correção de projetos já existentes; Buscar alternativas para melhoraria dos processos, ferramentas e funcionalidades existentes; Gerenciar os projetos em andamento no portal e sites internos do grupo; Gerenciamento do Cloud azure; Gerenciamento de lives transmitidas para facebook e youtube, ferramenta videolive e liveU."
Desenvolvedor React Native Pleno,Curitiba,,Buscamos programador Javascript com conhecimento de desenvolvimento para aplicativos móveis usando React Native. O profissional irá trabalhar em um projeto já existente em uma migração tecnológica de um App para uso de React. RESPONSABILIDADES E ATRIBUIÇÕES Conhecer o código do aplicativo atual com o intuito de migração para plataforma React Native; Trabalhar em uma equipe multidisciplinar com integrações com os módulos do Back-end via APIs; Irá trabalhar com a migração de um aplicativo Android para iOS.
Desenvolvedor Front End Júnior,Porto Alegre,,Programar interfaces de Web e ferramentas de edição de imagem.
Desenvolvedor Back-end,Curitiba,,"Planejar e criar sistemas escaláveis; . Entender e melhorar a arquitetura de sistemas existentes; . Realizar testes de carga, identificar gargalos e otimizar o desempenho de sistemas; . Identificar, monitorar e corrigir bugs e exceptions; . Desenvolver testes automatizados e garantir a qualidade do software."
Desenvolvedor Java,São Paulo,,"Desenvolvimento de sistemas com plataforma Java, conhecimentos e experiência em JBoss, Jetty, Spring, Hibernate, JavaScript, Design Patterns. Experiência com uso de web services, APIs, SOAP, JSON, REST. Experiência em abordagens de desenvolvimento com TDD e BDD. Experiência com Oracle e H2. Experiência com Shell Script e servidores Linux RH. Desejável: Conhecimento em AngularJS."
Desenvolvedor Salesforce Pleno,Florianopolis,,"Atuar com a equipe de tecnologia da Valuenet no desenvolvimento de um projeto Salesforce para empresa de grande porte do segmento Agro. Ser responsável pelas atividades de desenvolvimento de software, processos batch, schedules, triggers e controllers na plataforma Salesforce. Ajudar o Gestor em definições de arquitetura de soluções; Quando necessário, interagir com o cliente em questões técnicas (dúvidas ou definições)."
Desenvolvedor Mobile,Florianopolis,,"Somos uma startup que vem crescendo rapidamente e desenvolvendo softwares para clientes nacionais e internacionais. Procuramos alguém que seja inteligente o bastante para entender que nunca sabemos tudo! Sempre temos mais o que aprender. É assim, aprendendo e colaborando, que criamos softwares e experiências únicas! Estamos à procura de profissionais criteriosos que possam nos ajudar a garantir a qualidade dos nossos produtos."
